Item Number,Quantity,Description,Unit Price,Line Total,Unit Weight,Line Weight,URL
FBH850-25,1,"Hard-Coated Bandpass Filter, Ø25 mm, CWL = 850 nm, FWHM = 25 nm",$193.82,$193.82,0.05 lbs,0.05 lbs,https://www.thorlabs.com/hard-coated-nir-bandpass-filters
SM1A25,1,Adapter with External M25.5 x 0.5 Threads and Internal SM1 Threads,$24.05,$24.05,0.01 lbs,0.01 lbs,https://www.thorlabs.com/optical-component-threading-adapters-with-sm1-1.035-inch--40-threads
SM1L03,1,"SM1 Lens Tube, 0.30"" Thread Depth, One Retaining Ring Included",$14.07,$14.07,0.01 lbs,0.01 lbs,https://www.thorlabs.com/1-inch-lens-tubes
SPW602,1,"Spanner Wrench for SM1-Threaded Retaining Rings, Graduated Scale with 0.02"" (0.5&nbsp;mm) Increments, Length = 3.88""",$33.33,$33.33,0.17 lbs,0.17 lbs,https://www.thorlabs.com/spanner-wrenches
SM1RR,1,"SM1 Retaining Ring for  Ø1"" Lens Tubes and Mounts",$5.21,$5.21,0.01 lbs,0.01 lbs,https://www.thorlabs.com/retaining-rings
,,,,,,,
This CSV export is not an official quote. Prices are subject to change and are determined at the time the quote or order is requested.,,,,,,,
