TrialNum,Frame,Timestamp,Epoch,Event,StimOnsetTime,Side,Choice,Score
2,990,5426552,S On,,5.397828,Left,Left,left correct
2,991,5485224,S On,,5.4565,Left,Left,left correct
2,992,5543896,S On,,5.515172,Left,Left,left correct
2,993,5602568,S On,,5.573844,Left,Left,left correct
2,994,5661244,S On,,5.63252,Left,Left,left correct
2,995,5719916,S On,,5.691192,Left,Left,left correct
2,996,5778588,S On,,5.749864,Left,Left,left correct
2,997,5837260,S On,,5.808536,Left,Left,left correct
2,998,5895932,S On,,5.867208,Left,Left,left correct
2,999,5954604,S On,,5.92588,Left,Left,left correct
2,1000,6013276,S On,,5.984552,Left,Left,left correct
2,1001,6071948,S On,,6.043224,Left,Left,left correct
2,1002,6130620,S On,,6.101896,Left,Left,left correct
2,1003,6189292,S On,,6.160568,Left,Left,left correct
2,1004,6247964,S On,,6.21924,Left,Left,left correct
2,1005,6306636,S On,,6.277912,Left,Left,left correct
2,1006,6365308,S On,,6.336584,Left,Left,left correct
2,1007,6423980,S On,,6.395256,Left,Left,left correct
2,1008,6482652,S On,,6.453928,Left,Left,left correct
2,1009,6541324,S On,,6.5126,Left,Left,left correct
2,1010,6599996,S On,,6.571272,Left,Left,left correct
2,1011,6658668,S On,,6.629944,Left,Left,left correct
2,1012,6717344,S On,,6.68862,Left,Left,left correct
2,1013,6776016,S On,,6.747292,Left,Left,left correct
2,1014,6834688,S On,,6.805964,Left,Left,left correct
2,1015,6893360,S On,,6.864636,Left,Left,left correct
2,1016,6952032,S On,,6.923308,Left,Left,left correct
2,1017,7010704,S On,,6.98198,Left,Left,left correct
2,1018,7069376,S On,,7.040652,Left,Left,left correct
2,1019,7128048,S On,,7.099324,Left,Left,left correct
2,1020,7186720,S On,,7.157996,Left,Left,left correct
2,1021,7245392,S On,,7.216668,Left,Left,left correct
2,1022,7304064,S On,,7.27534,Left,Left,left correct
2,1023,7362736,S On,,7.334012,Left,Left,left correct
2,1024,7421408,S On,,7.392684,Left,Left,left correct
2,1025,7480080,S On,,7.451356,Left,Left,left correct
2,1026,7538752,S On,,7.510028,Left,Left,left correct
2,1027,7597424,S On,,7.5687,Left,Left,left correct
2,1028,7656100,S On,,7.627376,Left,Left,left correct
2,1029,7714772,S On,,7.686048,Left,Left,left correct
2,1030,7773444,S On,,7.74472,Left,Left,left correct
2,1031,7832116,S On,,7.803392,Left,Left,left correct
2,1032,7890788,S On,,7.862064,Left,Left,left correct
2,1033,7949460,S On,,7.920736,Left,Left,left correct
2,1034,8008132,S On,,7.979408,Left,Left,left correct
2,1035,8066804,S On,,8.03808,Left,Left,left correct
2,1036,8125476,S On,,8.096752,Left,Left,left correct
2,1037,8184148,S On,,8.155424,Left,Left,left correct
2,1038,8242820,S On,,8.214096,Left,Left,left correct
2,1039,8301492,S On,,8.272768,Left,Left,left correct
2,1040,8360164,S On,,8.33144,Left,Left,left correct
2,1041,8418840,S On,,8.390116,Left,Left,left correct
2,1042,8477512,S On,,8.448788,Left,Left,left correct
2,1043,8536184,S On,,8.50746,Left,Left,left correct
2,1044,8594856,S On,,8.566132,Left,Left,left correct
2,1045,8653528,S On,,8.624804,Left,Left,left correct
2,1046,8712200,S On,,8.683476,Left,Left,left correct
2,1047,8770872,S On,,8.742148,Left,Left,left correct
2,1048,8829544,S On,,8.80082,Left,Left,left correct
2,1049,8888216,S On,,8.859492,Left,Left,left correct
2,1050,8946888,S On,,8.918164,Left,Left,left correct
2,1051,9005560,S On,,8.976836,Left,Left,left correct
2,1052,9064232,S On,,9.035508,Left,Left,left correct
2,1053,9122904,S On,,9.09418,Left,Left,left correct
2,1054,9181580,S On,,9.152856,Left,Left,left correct
2,1055,9240252,S On,,9.211528,Left,Left,left correct
2,1056,9298924,S On,,9.2702,Left,Left,left correct
2,1057,9357596,S On,,9.328872,Left,Left,left correct
2,1058,9416268,S On,,9.387544,Left,Left,left correct
2,1059,9474940,S On,,9.446216,Left,Left,left correct
2,1060,9533612,S On,,9.504888,Left,Left,left correct
2,1061,9592284,S On,,9.56356,Left,Left,left correct
2,1062,9650956,S On,,9.622232,Left,Left,left correct
2,1063,9709628,S On,,9.680904,Left,Left,left correct
2,1064,9768300,S On,,9.739576,Left,Left,left correct
2,1065,9826976,S On,,9.798252,Left,Left,left correct
2,1066,9885648,S On,,9.856924,Left,Left,left correct
2,1067,9944320,S On,,9.915596,Left,Left,left correct
2,1068,10002992,S On,,9.974268,Left,Left,left correct
2,1069,10061664,S On,,10.03294,Left,Left,left correct
2,1070,10120336,S On,,10.091612,Left,Left,left correct
2,1071,10179008,S On,,10.150284,Left,Left,left correct
2,1072,10237680,S On,,10.208956,Left,Left,left correct
2,1073,10296352,S On,,10.267628,Left,Left,left correct
2,1074,10355024,S On,,10.3263,Left,Left,left correct
2,1075,10413696,S On,,10.384972,Left,Left,left correct
2,1076,10472372,S On,,10.443648,Left,Left,left correct
2,1077,10531044,S On,,10.50232,Left,Left,left correct
2,1078,10589716,S On,,10.560992,Left,Left,left correct
2,1079,10648388,S On,,10.619664,Left,Left,left correct
2,1080,10707060,S On,,10.678336,Left,Left,left correct
2,1081,10765732,S On,,10.737008,Left,Left,left correct
2,1082,10824404,S On,,10.79568,Left,Left,left correct
2,1083,10883076,S On,,10.854352,Left,Left,left correct
2,1084,10941748,S On,,10.913024,Left,Left,left correct
2,1085,11000420,S On,,10.971696,Left,Left,left correct
2,1086,11059096,S On,,11.030372,Left,Left,left correct
2,1087,11117768,S On,,11.089044,Left,Left,left correct
2,1088,11176440,S On,,11.147716,Left,Left,left correct
2,1089,11235112,S On,,11.206388,Left,Left,left correct
2,1090,11293784,S On,,11.26506,Left,Left,left correct
2,1091,11352456,S On,,11.323732,Left,Left,left correct
2,1092,11411128,S On,,11.382404,Left,Left,left correct
2,1093,11469800,S On,,11.441076,Left,Left,left correct
2,1094,11528472,S On,,11.499748,Left,Left,left correct
2,1095,11587148,S On,,11.558424,Left,Left,left correct
2,1096,11645820,S On,,11.617096,Left,Left,left correct
2,1097,11704492,S On,,11.675768,Left,Left,left correct
2,1098,11763164,S On,,11.73444,Left,Left,left correct
2,1099,11821836,S On,,11.793112,Left,Left,left correct
2,1100,11880508,S On,,11.851784,Left,Left,left correct
2,1101,11939180,S On,,11.910456,Left,Left,left correct
2,1102,11997852,S On,,11.969128,Left,Left,left correct
2,1103,12056524,S On,,12.0278,Left,Left,left correct
2,1104,12115200,S On,,12.086476,Left,Left,left correct
2,1105,12173872,S On,,12.145148,Left,Left,left correct
2,1106,12232544,S On,,12.20382,Left,Left,left correct
2,1107,12291216,S On,,12.262492,Left,Left,left correct
2,1108,12349888,S On,,12.321164,Left,Left,left correct
2,1109,12408560,S On,,12.379836,Left,Left,left correct
2,1110,12467232,S On,,12.438508,Left,Left,left correct
2,1111,12525904,S On,,12.49718,Left,Left,left correct
2,1112,12584576,S On,,12.555852,Left,Left,left correct
2,1113,12643252,S On,,12.614528,Left,Left,left correct
2,1114,12701924,S On,,12.6732,Left,Left,left correct
2,1115,12760596,S On,,12.731872,Left,Left,left correct
2,1116,12819268,S On,,12.790544,Left,Left,left correct
2,1117,12877940,S On,,12.849216,Left,Left,left correct
2,1118,12936612,S On,,12.907888,Left,Left,left correct
2,1119,12995284,S On,,12.96656,Left,Left,left correct
2,1120,13053956,S On,,13.025232,Left,Left,left correct
2,1121,13112632,S On,,13.083908,Left,Left,left correct
2,1122,13171304,S On,,13.14258,Left,Left,left correct
2,1123,13229976,S On,,13.201252,Left,Left,left correct
2,1124,13288648,S On,,13.259924,Left,Left,left correct
2,1125,13347320,S On,,13.318596,Left,Left,left correct
2,1126,13405992,S On,,13.377268,Left,Left,left correct
2,1127,13464664,S On,,13.43594,Left,Left,left correct
2,1128,13523336,S On,,13.494612,Left,Left,left correct
2,1129,13582012,S On,,13.553288,Left,Left,left correct
2,1130,13640684,S On,,13.61196,Left,Left,left correct
2,1131,13699356,S On,,13.670632,Left,Left,left correct
2,1132,13758028,S On,,13.729304,Left,Left,left correct
2,1133,13816700,S On,,13.787976,Left,Left,left correct
2,1134,13875372,S On,,13.846648,Left,Left,left correct
2,1135,13934044,S On,,13.90532,Left,Left,left correct
2,1136,13992716,S On,,13.963992,Left,Left,left correct
2,1137,14051392,S On,,14.022668,Left,Left,left correct
2,1138,14110064,S On,,14.08134,Left,Left,left correct
2,1139,14168736,S On,,14.140012,Left,Left,left correct
2,1140,14227408,S On,,14.198684,Left,Left,left correct
2,1141,14286080,S On,,14.257356,Left,Left,left correct
2,1142,14344752,S On,,14.316028,Left,Left,left correct
2,1143,14403424,S On,,14.3747,Left,Left,left correct
2,1144,14462096,S On,,14.433372,Left,Left,left correct
2,1145,14520772,S On,,14.492048,Left,Left,left correct
2,1146,14579444,S On,,14.55072,Left,Left,left correct
2,1147,14638116,S On,,14.609392,Left,Left,left correct
2,1148,14696788,S On,,14.668064,Left,Left,left correct
2,1149,14755460,S On,,14.726736,Left,Left,left correct
2,1150,14814132,S On,,14.785408,Left,Left,left correct
2,1151,14872804,S On,,14.84408,Left,Left,left correct
2,1152,14931480,S On,,14.902756,Left,Left,left correct
2,1153,14990152,S On,,14.961428,Left,Left,left correct
2,1154,15048824,S On,,15.0201,Left,Left,left correct
2,1155,15107496,S On,,15.078772,Left,Left,left correct
2,1156,15166168,S On,,15.137444,Left,Left,left correct
2,1157,15224840,S On,,15.196116,Left,Left,left correct
2,1158,15283512,S On,,15.254788,Left,Left,left correct
2,1159,15342184,S On,,15.31346,Left,Left,left correct
2,1160,15400860,S On,,15.372136,Left,Left,left correct
2,1161,15459532,S On,,15.430808,Left,Left,left correct
2,1162,15518204,S On,,15.48948,Left,Left,left correct
2,1163,15576876,S On,,15.548152,Left,Left,left correct
2,1164,15635548,S On,,15.606824,Left,Left,left correct
2,1165,15694220,S On,,15.665496,Left,Left,left correct
2,1166,15752892,S On,,15.724168,Left,Left,left correct
2,1167,15811568,S On,,15.782844,Left,Left,left correct
2,1168,15870240,S On,,15.841516,Left,Left,left correct
2,1169,15928912,S On,,15.900188,Left,Left,left correct
2,1170,15987584,S On,,15.95886,Left,Left,left correct
2,1171,16046256,S On,,16.017532,Left,Left,left correct
2,1172,16104928,S On,,16.076204,Left,Left,left correct
2,1173,16163600,S On,,16.134876,Left,Left,left correct
2,1174,16222276,S On,,16.193552,Left,Left,left correct
2,1175,16280948,S On,,16.252224,Left,Left,left correct
2,1176,16339620,S On,,16.310896,Left,Left,left correct
2,1177,16398292,S On,,16.369568,Left,Left,left correct
2,1178,16456964,S On,,16.42824,Left,Left,left correct
2,1179,16515636,S On,,16.486912,Left,Left,left correct
2,1180,16574312,S On,,16.545588,Left,Left,left correct
2,1181,16632984,S On,,16.60426,Left,Left,left correct
2,1182,16691656,S On,,16.662932,Left,Left,left correct
2,1183,16750328,S On,,16.721604,Left,Left,left correct
2,1184,16809000,S On,,16.780276,Left,Left,left correct
2,1185,16867672,S On,,16.838948,Left,Left,left correct
2,1186,16926344,S On,,16.89762,Left,Left,left correct
2,1187,16985020,S On,,16.956296,Left,Left,left correct
2,1188,17043692,S On,,17.014968,Left,Left,left correct
2,1189,17102364,S On,,17.07364,Left,Left,left correct
2,1190,17161036,S On,,17.132312,Left,Left,left correct
2,1191,17219708,S On,,17.190984,Left,Left,left correct
2,1192,17278380,S On,,17.249656,Left,Left,left correct
2,1193,17337052,S On,,17.308328,Left,Left,left correct
2,1194,17395728,S On,,17.367004,Left,Left,left correct
2,1195,17454400,S On,,17.425676,Left,Left,left correct
2,1196,17513072,S On,,17.484348,Left,Left,left correct
2,1197,17571744,S On,,17.54302,Left,Left,left correct
2,1198,17630416,S On,,17.601692,Left,Left,left correct
2,1199,17689092,S On,,17.660368,Left,Left,left correct
2,1200,17747764,S On,,17.71904,Left,Left,left correct
2,1201,17806436,S On,,17.777712,Left,Left,left correct
2,1202,17865108,S On,,17.836384,Left,Left,left correct
2,1203,17923780,S On,,17.895056,Left,Left,left correct
2,1204,17982452,S On,,17.953728,Left,Left,left correct
2,1205,18041124,S On,,18.0124,Left,Left,left correct
2,1206,18099796,S On,,18.071072,Left,Left,left correct
2,1207,18158472,S On,,18.129748,Left,Left,left correct
2,1208,18217144,S On,,18.18842,Left,Left,left correct
2,1209,18275816,S On,,18.247092,Left,Left,left correct
2,1210,18334488,S On,,18.305764,Left,Left,left correct
2,1211,18393160,S On,,18.364436,Left,Left,left correct
2,1212,18451832,S On,,18.423108,Left,Left,left correct
2,1213,18510508,S On,,18.481784,Left,Left,left correct
2,1214,18569180,S On,,18.540456,Left,Left,left correct
2,1215,18627852,S On,,18.599128,Left,Left,left correct
2,1216,18686524,S On,,18.6578,Left,Left,left correct
2,1217,18745196,S On,,18.716472,Left,Left,left correct
2,1218,18803868,S On,,18.775144,Left,Left,left correct
2,1219,18862544,S On,,18.83382,Left,Left,left correct
2,1220,18921216,S On,,18.892492,Left,Left,left correct
2,1221,18979888,S On,,18.951164,Left,Left,left correct
2,1222,19038560,S On,,19.009836,Left,Left,left correct
2,1223,19097232,S On,,19.068508,Left,Left,left correct
2,1224,19155904,S On,,19.12718,Left,Left,left correct
2,1225,19214580,S On,,19.185856,Left,Left,left correct
2,1226,19273252,S On,,19.244528,Left,Left,left correct
2,1227,19331924,S On,,19.3032,Left,Left,left correct
2,1228,19390596,S On,,19.361872,Left,Left,left correct
2,1229,19449268,S On,,19.420544,Left,Left,left correct
2,1230,19507940,S On,,19.479216,Left,Left,left correct
2,1231,19566616,S On,,19.537892,Left,Left,left correct
2,1232,19625288,S On,,19.596564,Left,Left,left correct
2,1233,19683960,S On,,19.655236,Left,Left,left correct
2,1234,19742632,S On,,19.713908,Left,Left,left correct
2,1235,19801304,S On,,19.77258,Left,Left,left correct
2,1236,19859976,S On,,19.831252,Left,Left,left correct
2,1237,19918652,S On,,19.889928,Left,Left,left correct
2,1238,19977324,S On,,19.9486,Left,Left,left correct
2,1239,20035996,S On,,20.007272,Left,Left,left correct
2,1240,20094668,S On,,20.065944,Left,Left,left correct
2,1241,20153340,S On,,20.124616,Left,Left,left correct
2,1242,20212016,S On,,20.183292,Left,Left,left correct
2,1243,20270688,S On,,20.241964,Left,Left,left correct
2,1244,20329360,S On,,20.300636,Left,Left,left correct
2,1245,20388032,S On,,20.359308,Left,Left,left correct
2,1246,20446704,S On,,20.41798,Left,Left,left correct
2,1247,20505376,S On,,20.476652,Left,Left,left correct
2,1248,20564052,S On,,20.535328,Left,Left,left correct
2,1249,20622724,S On,,20.594,Left,Left,left correct
2,1250,20681396,S On,,20.652672,Left,Left,left correct
2,1251,20740068,S On,,20.711344,Left,Left,left correct
2,1252,20798740,S On,,20.770016,Left,Left,left correct
2,1253,20857416,S On,,20.828692,Left,Left,left correct
2,1254,20916088,S On,,20.887364,Left,Left,left correct
2,1255,20974760,S On,,20.946036,Left,Left,left correct
2,1256,21033432,S On,,21.004708,Left,Left,left correct
2,1257,21092104,S On,,21.06338,Left,Left,left correct
2,1258,21150776,S On,,21.122052,Left,Left,left correct
2,1259,21209452,S On,,21.180728,Left,Left,left correct
2,1260,21268124,S On,,21.2394,Left,Left,left correct
2,1261,21326796,S On,,21.298072,Left,Left,left correct
2,1262,21385468,S On,,21.356744,Left,Left,left correct
2,1263,21444140,S On,,21.415416,Left,Left,left correct
2,1264,21502816,S On,,21.474092,Left,Left,left correct
2,1265,21561488,S On,,21.532764,Left,Left,left correct
2,1266,21620160,S On,,21.591436,Left,Left,left correct
2,1267,21678832,S On,,21.650108,Left,Left,left correct
2,1268,21737504,S On,,21.70878,Left,Left,left correct
2,1269,21796176,S On,,21.767452,Left,Left,left correct
2,1270,21854852,S On,,21.826128,Left,Left,left correct
2,1271,21913524,S On,,21.8848,Left,Left,left correct
2,1272,21972196,S On,,21.943472,Left,Left,left correct
2,1273,22030868,S On,,22.002144,Left,Left,left correct
2,1274,22089540,S On,,22.060816,Left,Left,left correct
2,1275,22148216,S On,,22.119492,Left,Left,left correct
2,1276,22206888,S On,,22.178164,Left,Left,left correct
2,1277,22265560,S On,,22.236836,Left,Left,left correct
2,1278,22324232,S On,,22.295508,Left,Left,left correct
2,1279,22382904,S On,,22.35418,Left,Left,left correct
2,1280,22441580,S On,,22.412856,Left,Left,left correct
2,1281,22500252,S On,,22.471528,Left,Left,left correct
2,1282,22558924,S On,,22.5302,Left,Left,left correct
2,1283,22617596,S On,,22.588872,Left,Left,left correct
2,1284,22676268,S On,,22.647544,Left,Left,left correct
2,1285,22734944,S On,,22.70622,Left,Left,left correct
2,1286,22793616,S On,,22.764892,Left,Left,left correct
2,1287,22852288,S On,,22.823564,Left,Left,left correct
2,1288,22910960,S On,,22.882236,Left,Left,left correct
2,1289,22969632,S On,,22.940908,Left,Left,left correct
2,1290,23028308,S On,,22.999584,Left,Left,left correct
2,1291,23086980,S On,,23.058256,Left,Left,left correct
2,1292,23145652,S On,,23.116928,Left,Left,left correct
